Observatory;Data_year;agglomeration;Zone_complementaire;Type_habitat;epoque_construction_homogene;anciennete_locataire_homogene;nombre_pieces_homogene;loyer_1_decile;loyer_1_quartile;loyer_median;loyer_3_quartile;loyer_9_decile;loyer_moyen;loyer_mensuel_1_decile;loyer_mensuel_1_quartile;loyer_mensuel_median;loyer_mensuel_3_quartile;loyer_mensuel_9_decile;moyenne_loyer_mensuel;surface_moyenne;nombre_observations;nombre_logements;methodologie_production
B0600;2020;Agglomération de Nice-Menton;;;4. Entre 1991-2005;;Ensemble 1P;13,9;16,2;19,0;22,1;25,0;18,6;400;436;503;559;600;507;27;654;2710;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;4. Entre 1991-2005;;Ensemble 2P;12,2;14,0;15,7;17,5;19,4;15,6;550;603;700;759;825;693;44;1334;5537;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;4. Entre 1991-2005;;Ensemble 3P;10,0;11,6;14,1;15,8;18,5;13,9;680;798;898;1027;1235;925;67;709;4119;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;4. Entre 1991-2005;1. Moins de 1 an;;11,9;13,8;15,8;19,3;21,9;15,7;520;610;755;901;1300;814;52;557;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;4. Entre 1991-2005;2. 1 an et plus;;10,6;12,8;15,0;17,5;20,0;14,4;480;590;720;913;1100;779;54;2410;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;5. Après 2005;;;11,2;13,7;15,8;17,9;19,8;15,0;486;620;718;850;1076;771;51;3797;13170;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;5. Après 2005;;Ensemble 4P+;7,2;9,8;12,5;14,8;17,0;12,3;750;900;1106;1417;2400;1261;102;295;1578;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;5. Après 2005;;Ensemble 1P;14,5;16,7;18,6;20,4;22,4;18,3;395;417;495;553;605;496;27;764;1709;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;5. Après 2005;;Ensemble 2P;13,7;14,8;16,4;18,0;19,4;16,4;600;645;695;760;800;698;43;1679;5865;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;5. Après 2005;;Ensemble 3P;10,4;12,4;13,8;15,9;18,1;14,0;700;774;860;989;1150;893;64;1059;4018;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;5. Après 2005;1. Moins de 1 an;;12,6;14,3;16,0;17,8;20,3;15,6;546;611;700;879;1150;795;51;682;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;5. Après 2005;2. 1 an et plus;;10,8;13,5;15,8;17,9;19,7;14,8;470;620;722;850;1043;761;52;3115;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Maison;;;;8,3;10,5;12,5;15,5;17,9;12,6;550;700;970;1335;1602;1072;85;526;13155;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Maison;;;Maison 1-3P;;;;;;;;;;;;;;198;;
B0600;2020;Agglomération de Nice-Menton;;Maison;;;Maison 4P+;;;;;;;;;;;;;;328;;
B0600;2020;Agglomération de Nice-Menton;;Maison;;1. Moins de 1 an;;;;;;;;;;;;;;;113;;
B0600;2020;Agglomération de Nice-Menton;;Maison;;1. Moins de 1 an;Maison 1-3P;;;;;;;;;;;;;;49;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Maison;;1. Moins de 1 an;Maison 4P+;;;;;;;;;;;;;;64;;
B0600;2020;Agglomération de Nice-Menton;;Maison;;2. 1 an et plus;;;;;;;;;;;;;;;413;;
B0600;2020;Agglomération de Nice-Menton;;Maison;;2. 1 an et plus;Maison 1-3P;;;;;;;;;;;;;;149;;
B0600;2020;Agglomération de Nice-Menton;;Maison;;2. 1 an et plus;Maison 4P+;;;;;;;;;;;;;;264;;
B0600;2020;Agglomération de Nice-Menton;;Maison;1. Avant 1946;;;;;;;;;;;;;;;;135;;
B0600;2020;Agglomération de Nice-Menton;;Maison;1. Avant 1946;;Maison 1-3P;;;;;;;;;;;;;;71;;
B0600;2020;Agglomération de Nice-Menton;;Maison;1. Avant 1946;;Maison 4P+;;;;;;;;;;;;;;64;;
B0600;2020;Agglomération de Nice-Menton;;Maison;1. Avant 1946;1. Moins de 1 an;;;;;;;;;;;;;;;29;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Maison;1. Avant 1946;2. 1 an et plus;;;;;;;;;;;;;;;106;;
B0600;2020;Agglomération de Nice-Menton;;Maison;2. Entre 1946-1970;;;;;;;;;;;;;;;;105;;
B0600;2020;Agglomération de Nice-Menton;;Maison;2. Entre 1946-1970;;Maison 1-3P;;;;;;;;;;;;;;40;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Maison;2. Entre 1946-1970;;Maison 4P+;;;;;;;;;;;;;;65;;
B0600;2020;Agglomération de Nice-Menton;;Maison;2. Entre 1946-1970;1. Moins de 1 an;;;;;;;;;;;;;;;20;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Maison;2. Entre 1946-1970;2. 1 an et plus;;;;;;;;;;;;;;;85;;
B0600;2020;Agglomération de Nice-Menton;;Maison;3. Entre 1971-1990;;;;;;;;;;;;;;;;152;;
B0600;2020;Agglomération de Nice-Menton;;Maison;3. Entre 1971-1990;;Maison 1-3P;;;;;;;;;;;;;;45;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Maison;3. Entre 1971-1990;;Maison 4P+;;;;;;;;;;;;;;107;;
B0600;2020;Agglomération de Nice-Menton;;Maison;3. Entre 1971-1990;1. Moins de 1 an;;;;;;;;;;;;;;;28;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Maison;3. Entre 1971-1990;2. 1 an et plus;;;;;;;;;;;;;;;124;;
B0600;2020;Agglomération de Nice-Menton;;Maison;4. Entre 1991-2005;;;;;;;;;;;;;;;;83;;
B0600;2020;Agglomération de Nice-Menton;;Maison;4. Entre 1991-2005;;Maison 1-3P;;;;;;;;;;;;;;25;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Maison;4. Entre 1991-2005;;Maison 4P+;;;;;;;;;;;;;;58;;
B0600;2020;Agglomération de Nice-Menton;;Maison;4. Entre 1991-2005;1. Moins de 1 an;;;;;;;;;;;;;;;19;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Maison;4. Entre 1991-2005;2. 1 an et plus;;;;;;;;;;;;;;;64;;
B0600;2020;Agglomération de Nice-Menton;;Maison;5. Après 2005;;;;;;;;;;;;;;;;51;;
B0600;2020;Agglomération de Nice-Menton;;Maison;5. Après 2005;;Maison 1-3P;;;;;;;;;;;;;;17;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Maison;5. Après 2005;;Maison 4P+;;;;;;;;;;;;;;34;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Maison;5. Après 2005;1. Moins de 1 an;;;;;;;;;;;;;;;17;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Maison;5. Après 2005;2. 1 an et plus;;;;;;;;;;;;;;;34;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Appartement;;;;9,6;11,7;14,1;16,8;19,8;13,5;450;550;678;811;1000;711;53;23645;121772;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Appartement;;;Appart 1P;13,2;15,3;17,8;20,4;23,7;17,5;390;434;498;550;605;496;28;5802;25231;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Appartement;;;Appart 2P;10,8;12,7;14,6;16,9;19,1;14,5;500;572;650;726;800;652;45;9285;48110;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Appartement;;;Appart 3P;8,9;10,8;12,6;14,5;16,4;12,7;570;695;800;920;1072;817;64;6524;36352;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Appartement;;;Appart 4P+;7,3;9,2;11,3;12,9;15,2;11,2;650;791;946;1180;1435;1011;91;2034;12079;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Appartement;;1. Moins de 1 an;;10,9;12,8;15,0;17,8;20,6;14,6;464;560;694;825;1025;729;50;4135;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Appartement;;1. Moins de 1 an;Appart 1P;13,0;15,6;18,5;21,0;24,0;17,9;388;450;505;571;621;510;28;1247;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Appartement;;1. Moins de 1 an;Appart 2P;11,8;13,7;15,2;17,4;20,0;15,2;530;600;673;750;800;671;44;1630;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Appartement;;1. Moins de 1 an;Appart 3P;10,3;11,7;13,6;15,3;17,9;13,7;611;750;858;990;1200;873;64;967;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Appartement;;1. Moins de 1 an;Appart 4P+;9,0;10,3;12,7;14,8;16,1;12,6;670;860;1082;1335;1576;1132;90;291;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Appartement;;2. 1 an et plus;;9,4;11,4;13,8;16,5;19,3;13,2;450;543;673;809;1000;706;53;19510;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Appartement;;2. 1 an et plus;Appart 1P;13,3;15,2;17,5;20,3;23,5;17,3;390;430;490;549;600;492;28;4555;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Appartement;;2. 1 an et plus;Appart 2P;10,6;12,4;14,5;16,6;18,8;14,3;487;567;650;721;800;647;45;7655;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Appartement;;2. 1 an et plus;Appart 3P;8,8;10,6;12,4;14,2;16,0;12,4;560;680;790;900;1049;802;65;5557;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Appartement;;2. 1 an et plus;Appart 4P+;7,0;8,9;11,0;12,6;14,9;10,9;620;781;930;1150;1407;989;91;1743;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Appartement;1. Avant 1946;;;8,5;10,6;13,2;15,9;19,4;12,5;400;500;613;756;968;660;53;4855;22460;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Appartement;1. Avant 1946;;Appart 1P;11,8;14,6;17,2;20,0;24,1;16,9;330;398;460;525;595;463;27;1063;4159;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Appartement;1. Avant 1946;;Appart 2P;9,5;11,5;13,6;16,0;18,9;13,6;400;500;593;667;746;587;43;1941;8566;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Appartement;1. Avant 1946;;Appart 3P;8,1;9,5;11,8;14,0;15,9;11,9;480;600;715;843;988;737;62;1333;6762;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Appartement;1. Avant 1946;;Appart 4P+;5,8;8,2;10,6;12,1;14,5;10,2;500;740;900;1135;1400;945;93;518;2972;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Appartement;1. Avant 1946;1. Moins de 1 an;;9,8;12,0;14,8;18,6;20,7;14,4;400;500;637;775;995;680;47;853;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Appartement;1. Avant 1946;2. 1 an et plus;;8,3;10,1;12,7;15,6;18,4;12,1;400;500;606;751;950;655;54;4002;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Appartement;2. Entre 1946-1970;;;9,8;11,4;13,2;15,6;18,8;13,0;470;555;680;800;966;707;54;5968;34262;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Appartement;2. Entre 1946-1970;;Appart 1P;12,4;14,3;17,2;19,8;22,8;16,8;400;443;497;550;609;499;30;1411;7126;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Appartement;2. Entre 1946-1970;;Appart 2P;10,5;12,0;13,7;15,8;18,0;13,8;500;580;650;722;800;654;47;2118;12963;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Appartement;2. Entre 1946-1970;;Appart 3P;9,2;10,9;12,3;13,9;15,5;12,3;580;686;787;900;1028;798;65;1896;10897;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Appartement;2. Entre 1946-1970;;Appart 4P+;7,7;9,2;10,8;12,5;13,8;11,0;600;728;860;1107;1335;940;86;543;3277;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Appartement;2. Entre 1946-1970;1. Moins de 1 an;;10,9;12,3;14,3;16,8;20,0;14,1;450;550;680;800;961;707;50;992;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Appartement;2. Entre 1946-1970;2. 1 an et plus;;9,6;11,1;12,9;15,4;18,2;12,7;475;560;680;800;966;707;55;4976;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Appartement;3. Entre 1971-1990;;;10,1;12,1;14,2;17,0;20,2;13,8;468;550;680;832;1000;726;53;6192;39983;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Appartement;3. Entre 1971-1990;;Appart 1P;13,7;15,6;18,0;20,6;23,7;17,7;400;462;510;567;617;515;29;1910;9579;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Appartement;3. Entre 1971-1990;;Appart 2P;11,2;12,7;14,4;16,5;19,6;14,5;524;600;678;742;808;674;46;2221;15468;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Appartement;3. Entre 1971-1990;;Appart 3P;9,0;10,8;12,6;14,2;15,9;12,5;600;705;815;925;1043;832;67;1561;11215;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Appartement;3. Entre 1971-1990;;Appart 4P+;8,4;10,0;11,8;13,8;15,3;12,0;750;840;1000;1250;1500;1090;91;500;3721;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Appartement;3. Entre 1971-1990;1. Moins de 1 an;;10,9;12,7;14,8;17,6;20,9;14,2;485;569;697;828;1011;743;52;1087;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Appartement;3. Entre 1971-1990;2. 1 an et plus;;10,0;11,9;14,1;16,7;20,0;13,6;466;550;680;833;1000;721;53;5105;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Appartement;4. Entre 1991-2005;;;11,1;13,3;15,3;17,8;20,8;14,8;487;599;720;884;1085;768;52;2884;12847;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Appartement;4. Entre 1991-2005;;Appart 1P;13,9;16,2;19,0;22,1;25,0;18,6;400;436;503;559;600;507;27;654;2676;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Appartement;4. Entre 1991-2005;;Appart 2P;12,4;14,1;15,7;17,5;19,4;15,7;550;607;700;756;828;694;44;1328;5322;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Appartement;4. Entre 1991-2005;;Appart 3P;10,5;11,9;14,3;15,8;18,2;14,0;680;800;895;1025;1251;928;66;690;3706;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Appartement;4. Entre 1991-2005;;Appart 4P+;8,0;10,0;11,7;14,7;17,1;12,4;800;908;1100;1353;1675;1172;95;212;1143;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Appartement;4. Entre 1991-2005;1. Moins de 1 an;;11,8;13,8;15,8;19,4;22,0;15,7;510;605;750;880;1190;801;51;538;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Appartement;4. Entre 1991-2005;2. 1 an et plus;;10,8;13,1;15,1;17,5;20,0;14,6;480;581;710;885;1065;757;52;2346;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Appartement;5. Après 2005;;;11,3;13,8;15,8;17,9;19,9;15,1;480;611;709;840;1020;740;49;3746;12221;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Appartement;5. Après 2005;;Appart 1P;14,5;16,7;18,6;20,4;22,4;18,3;395;417;495;553;605;496;27;764;1691;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Appartement;5. Après 2005;;Appart 2P;13,6;14,8;16,4;17,9;19,5;16,3;600;643;695;760;800;698;43;1677;5791;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Appartement;5. Après 2005;;Appart 3P;10,4;12,4;13,8;15,8;17,8;14,0;700;772;855;974;1110;879;63;1044;3772;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Appartement;5. Après 2005;;Appart 4P+;7,7;9,2;12,5;14,5;16,0;11,9;695;849;1037;1324;1445;1071;90;261;967;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Appartement;5. Après 2005;1. Moins de 1 an;;12,5;14,3;15,8;17,8;20,3;15,5;538;608;700;860;1035;752;48;665;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;Appartement;5. Après 2005;2. 1 an et plus;;11,1;13,6;15,8;18,0;19,7;14,9;461;619;714;840;1007;736;49;3081;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;Ville centre;;;;;9,7;11,5;13,7;16,5;19,5;13,3;435;520;645;785;956;682;51;9744;50223;Estimation directe
B0600;2020;Agglomération de Nice-Menton;Ville centre;;;;Maison 1-3P;;;;;;;;;;;;;;13;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;Ville centre;;;;Ensemble 4P+;8,0;9,4;11,3;13,1;15,7;11,5;650;776;925;1218;1500;1029;90;758;5356;Estimation directe
B0600;2020;Agglomération de Nice-Menton;Ville centre;;;;Maison 4P+;;;;;;;;;;;;;;26;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;Ville centre;;;;Appart 1P;13,2;15,2;17,8;20,3;23,2;17,4;377;421;480;530;585;479;28;2769;11490;Estimation directe
B0600;2020;Agglomération de Nice-Menton;Ville centre;;;;Appart 2P;10,4;12,2;14,0;16,2;18,5;13,9;487;556;630;704;790;634;46;3731;18623;Estimation directe
B0600;2020;Agglomération de Nice-Menton;Ville centre;;;;Appart 3P;9,1;10,7;12,2;13,9;15,5;12,1;560;652;763;873;1005;778;64;2473;13994;Estimation directe
B0600;2020;Agglomération de Nice-Menton;Ville centre;;;;Appart 4P+;7,9;9,3;11,3;12,9;15,2;11,3;645;759;900;1175;1430;1001;89;732;4956;Estimation directe
B0600;2020;Agglomération de Nice-Menton;Ville centre;;;;Ensemble 1P;13,2;15,2;17,8;20,3;23,2;17,4;377;421;480;530;585;479;28;2769;11566;Estimation directe
B0600;2020;Agglomération de Nice-Menton;Ville centre;;;;Ensemble 2P;10,4;12,2;14,0;16,2;18,5;13,9;487;558;630;705;790;635;46;3734;18885;Estimation directe
B0600;2020;Agglomération de Nice-Menton;Ville centre;;;;Ensemble 3P;9,1;10,7;12,2;13,9;15,6;12,2;560;652;762;878;1009;779;64;2483;14416;Estimation directe
B0600;2020;Agglomération de Nice-Menton;Ville centre;;;1. Moins de 1 an;;10,9;12,6;14,9;17,6;20,5;14,3;440;530;670;800;998;695;48;1681;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;Ville centre;;;1. Moins de 1 an;Ensemble 4P+;7,5;10,0;12,0;14,0;16,1;12,3;600;828;1000;1300;1530;1056;86;116;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;Ville centre;;;1. Moins de 1 an;Ensemble 1P;12,6;14,9;18,5;20,8;24,0;17,6;354;439;495;535;600;488;28;563;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;Ville centre;;;1. Moins de 1 an;Ensemble 2P;11,7;13,8;15,2;17,3;20,0;15,1;550;600;697;756;808;677;45;638;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;Ville centre;;;1. Moins de 1 an;Ensemble 3P;10,4;11,6;13,0;14,9;15,9;12,9;611;710;800;941;1050;819;63;364;;Estimation directe
