Observatory;Data_year;agglomeration;Zone_complementaire;Type_habitat;epoque_construction_homogene;anciennete_locataire_homogene;nombre_pieces_homogene;loyer_1_decile;loyer_1_quartile;loyer_median;loyer_3_quartile;loyer_9_decile;loyer_moyen;loyer_mensuel_1_decile;loyer_mensuel_1_quartile;loyer_mensuel_median;loyer_mensuel_3_quartile;loyer_mensuel_9_decile;moyenne_loyer_mensuel;surface_moyenne;nombre_observations;nombre_logements;methodologie_production
B0600;2020;Agglomération de Nice-Menton;;;;;;9,6;11,6;14,0;16,7;19,7;13,4;452;550;683;831;1037;729;54;24171;134928;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;;;Maison 1-3P;9,2;11,0;12,8;16,3;18,6;13,3;468;590;725;970;1244;795;60;198;7299;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;;;Ensemble 4P+;7,4;9,3;11,4;13,4;15,5;11,4;650;800;1000;1269;1550;1072;94;2362;17936;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;;;Maison 4P+;8,0;10,0;12,2;14,6;17,0;12,2;720;950;1200;1550;1964;1321;108;328;5856;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;;;Appart 1P;13,2;15,3;17,8;20,4;23,7;17,5;390;434;498;550;605;496;28;5802;25231;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;;;Appart 2P;10,8;12,7;14,6;16,9;19,1;14,5;500;572;650;726;800;652;45;9285;48110;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;;;Appart 3P;8,9;10,8;12,6;14,5;16,4;12,7;570;695;800;920;1072;817;64;6524;36352;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;;;Appart 4P+;7,3;9,2;11,3;12,9;15,2;11,2;650;791;946;1180;1435;1011;91;2034;12079;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;;;Ensemble 1P;13,2;15,3;17,8;20,4;23,7;17,5;390;434;499;550;605;497;28;5804;25690;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;;;Ensemble 2P;10,8;12,6;14,6;16,9;19,1;14,5;499;570;650;728;800;651;45;9335;50448;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;;;Ensemble 3P;8,9;10,8;12,6;14,5;16,6;12,7;569;690;800;925;1088;821;65;6670;40854;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;;1. Moins de 1 an;;10,7;12,7;14,9;17,6;20,6;14,5;465;561;700;850;1092;747;52;4248;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;;1. Moins de 1 an;Ensemble 4P+;8,1;10,0;12,2;14,6;16,3;12,4;700;883;1082;1415;1700;1172;95;355;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;;1. Moins de 1 an;Ensemble 1P;13,0;15,6;18,5;21,0;24,0;17,9;388;450;505;571;621;510;28;1248;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;;1. Moins de 1 an;Ensemble 2P;11,5;13,6;15,2;17,4;20,0;15,2;520;600;670;745;800;668;44;1643;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;;1. Moins de 1 an;Ensemble 3P;10,3;11,7;13,6;15,4;18,5;13,8;600;744;860;995;1210;876;64;1002;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;;2. 1 an et plus;;9,3;11,4;13,7;16,4;19,3;13,2;450;550;680;830;1028;724;55;19923;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;;2. 1 an et plus;Ensemble 4P+;7,1;9,2;11,2;13,0;15,3;11,2;650;800;984;1200;1500;1051;94;2007;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;;2. 1 an et plus;Ensemble 1P;13,3;15,2;17,6;20,3;23,5;17,3;390;430;491;549;600;492;28;4556;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;;2. 1 an et plus;Ensemble 2P;10,6;12,4;14,5;16,6;18,8;14,3;486;565;650;722;800;646;45;7692;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;;2. 1 an et plus;Ensemble 3P;8,7;10,6;12,4;14,3;16,1;12,4;560;680;793;905;1065;806;65;5668;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;1. Avant 1946;;;8,5;10,5;13,0;15,9;19,2;12,4;400;500;623;775;1000;678;55;4990;25852;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;1. Avant 1946;;Ensemble 4P+;5,8;8,1;10,6;12,1;14,7;10,4;500;730;900;1150;1423;993;96;582;4076;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;1. Avant 1946;;Ensemble 1P;11,7;14,5;17,2;20,0;24,1;16,8;330;398;460;525;595;463;27;1064;4344;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;1. Avant 1946;;Ensemble 2P;9,6;11,5;13,6;16,1;19,0;13,7;400;500;590;665;746;586;43;1964;9347;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;1. Avant 1946;;Ensemble 3P;8,3;9,6;11,9;14,0;16,0;11,9;490;600;715;850;995;745;63;1380;8085;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;1. Avant 1946;1. Moins de 1 an;;9,6;11,5;14,3;18,2;20,6;13,9;400;500;645;788;995;680;49;882;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;1. Avant 1946;2. 1 an et plus;;8,3;10,1;12,7;15,6;18,4;12,1;405;500;619;770;1000;678;56;4108;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;2. Entre 1946-1970;;;9,8;11,3;13,2;15,6;18,8;13,0;475;560;681;812;1000;718;55;6073;37733;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;2. Entre 1946-1970;;Ensemble 4P+;7,8;9,2;10,8;12,6;14,8;11,1;630;750;920;1161;1398;979;88;608;4539;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;2. Entre 1946-1970;;Ensemble 1P;12,4;14,3;17,2;19,9;22,8;16,9;400;443;497;549;608;499;30;1412;7239;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;2. Entre 1946-1970;;Ensemble 2P;10,6;12,0;13,7;15,8;18,0;13,8;502;580;650;729;800;656;47;2125;13664;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;2. Entre 1946-1970;;Ensemble 3P;9,2;10,9;12,3;14,0;15,6;12,4;580;683;789;900;1045;801;65;1928;12290;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;2. Entre 1946-1970;1. Moins de 1 an;;10,8;12,3;14,3;16,8;20,0;14,0;460;550;700;819;1000;724;52;1012;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;2. Entre 1946-1970;2. 1 an et plus;;9,5;11,1;12,9;15,4;18,2;12,7;477;560;680;812;1000;716;56;5061;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;3. Entre 1971-1990;;;10,0;12,1;14,2;16,8;20,0;13,6;470;553;693;850;1066;744;55;6344;43551;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;3. Entre 1971-1990;;Ensemble 4P+;8,4;10,0;12,0;14,0;15,3;12,0;762;853;1070;1370;1550;1138;95;607;5487;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;3. Entre 1971-1990;;Ensemble 1P;13,7;15,6;18,0;20,6;23,7;17,7;400;462;510;567;617;515;29;1910;9686;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;3. Entre 1971-1990;;Ensemble 2P;11,1;12,7;14,3;16,4;19,5;14,5;520;600;675;740;805;672;46;2233;16035;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;3. Entre 1971-1990;;Ensemble 3P;9,0;10,8;12,6;14,2;15,9;12,5;600;700;817;930;1060;833;67;1594;12343;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;3. Entre 1971-1990;1. Moins de 1 an;;10,5;12,6;14,7;17,5;20,6;14,1;490;575;700;880;1126;768;55;1115;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;3. Entre 1971-1990;2. 1 an et plus;;10,0;11,8;14,0;16,7;20,0;13,5;468;550;690;850;1053;737;55;5229;;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;4. Entre 1991-2005;;;10,9;13,1;15,1;17,7;20,5;14,7;484;600;725;910;1137;787;54;2967;14622;Estimation directe
B0600;2020;Agglomération de Nice-Menton;;;4. Entre 1991-2005;;Ensemble 4P+;9,4;10,5;12,3;14,9;17,4;12,8;800;1000;1100;1492;1714;1217;95;270;2256;Estimation directe
