Commune,Code postal,Type local,Surface reelle bati,Valeur fonciere,Prix_m2,Date mutation
NICE,6000.0,Appartement,30.0,161500.0,5383.333333333333,22/01/2024
NICE,6100.0,Appartement,32.0,122000.0,3812.5,25/01/2024
NICE,6000.0,Appartement,39.0,223000.0,5717.948717948718,11/01/2024
NICE,6200.0,Appartement,20.0,105000.0,5250.0,19/01/2024
NICE,6000.0,Appartement,29.0,100000.0,3448.2758620689656,19/01/2024
NICE,6300.0,Appartement,28.0,80000.0,2857.1428571428573,12/01/2024
NICE,6000.0,Appartement,30.0,110000.0,3666.6666666666665,23/01/2024
NICE,6100.0,Appartement,43.0,120000.0,2790.6976744186045,16/01/2024
NICE,6000.0,Appartement,27.0,138000.0,5111.111111111111,22/01/2024
NICE,6200.0,Appartement,31.0,130000.0,4193.548387096775,22/01/2024
NICE,6100.0,Appartement,34.0,135000.0,3970.5882352941176,22/01/2024
NICE,6100.0,Appartement,19.0,91000.0,4789.473684210527,15/01/2024
NICE,6200.0,Appartement,30.0,169000.0,5633.333333333333,03/01/2024
NICE,6000.0,Appartement,31.0,272000.0,8774.193548387097,04/01/2024
NICE,6300.0,Appartement,17.0,49000.0,2882.3529411764707,19/01/2024
NICE,6000.0,Appartement,19.0,210000.0,11052.631578947368,22/01/2024
NICE,6200.0,Appartement,37.0,190000.0,5135.135135135135,18/01/2024
NICE,6300.0,Appartement,43.0,250000.0,5813.953488372093,15/01/2024
NICE,6000.0,Appartement,45.0,137000.0,3044.4444444444443,16/01/2024
NICE,6300.0,Appartement,29.0,138000.0,4758.620689655172,25/01/2024
NICE,6300.0,Appartement,32.0,227000.0,7093.75,24/01/2024
NICE,6000.0,Appartement,40.0,141800.0,3545.0,25/01/2024
NICE,6000.0,Appartement,36.0,170000.0,4722.222222222223,18/01/2024
NICE,6000.0,Appartement,20.0,118000.0,5900.0,18/01/2024
NICE,6000.0,Appartement,30.0,80000.0,2666.6666666666665,18/01/2024
NICE,6000.0,Appartement,22.0,148000.0,6727.272727272727,24/01/2024
